project_name,twitter_handle,rootdata_full_introduction,rootdata_brief_introduction,rootdata_tag_names
Creek,creekfinance,"Creek is a RWAfi (Real-World Asset Finance) ecosystem transforming gold into optimized DeFi primitives for both stability and yield. By integrating physical gold assets with blockchain technology, Creek enables users to leverage XAUm tokens (gold-backed tokens issued by Martixdock, representing ownership of one troy ounce of physical gold) to create and trade various derivative financial products.",RWAfi ecosystem ,"RWA,DeFi"
DeepBook,DeepBookonSui,"DeepBook is a shared, decentralized Central Limit Order Book (CLOB) built for the Sui ecosystem. It leverages Sui's performance to provide a low-latency, high-execution engine that spreads liquidity across the DeFi ecosystem.",A shared central limit order book on Sui,"DEX,DeFi,OrderBook DEX"
OVERTAKE,overtake_world,"OVERTAKE is a peer-to-peer marketplace on Sui that lets players trade game items, accounts, and currencies with ease. Designed for the multi-billion dollar Web2 game asset market, it uses a multi-signature smart contract escrow to ensure secure, low-fee transactions with instant settlement.",Peer-to-peer marketplace on Sui,"Gaming,Gaming platform"
Lofi The Yeti,lofitheyeti,"Lofi is a meme coin that not just an avatar for a new dawn in finance, but a movement. Lofi represents a collective mission to build a thriving, forward-thinking ecosystem on the Sui blockchain.",Meme coin on the Sui blockchain,MEME
7k Ag,7k_ag_,"7K Aggregator is a dynamic trading route aggregator on Sui, designed to optimize user trading strategies. The name ""7K"" reflects the character 水 (water), aligning with the theme of the Sui blockchain.",Dex Aggregator,"DEX,DEX Aggregator,DeFi"
Bluefin,bluefinapp,"Bluefin (formerly Firefly, dTrade) is a decentralized perpetual contract agreement that supports users to trade perpetual contracts anytime, anywhere with a leverage ratio of up to 20 times. Its sub-product AlphaLend is a decentralized, non-custodial lending protocol based on SUI blockchain.",Decentralized perpetual contract protocol,"Derivatives,Perp,DeFi"
DeLorean Labs,DeLoreanlabs,"DeLorean Labs is the web3 arm of the DeLorean Motor Company ecosystem and an active Sui ecosystem member. DeLorean is set to be established as “the car of crypto”. As the first car company with a native token, $DMC is the currency of cultural convergence, pioneering the intersection of web3 innovation and true utility. ",The crypto car ecosystem,DePIN
Cetus,CetusProtocol,Cetus is a DEX and liquidity protocol focusing on Move-based ecosystems such as Aptos and Sui.,Decentralized liquidity protocol,"DEX,DeFi"
Full Sail Finance,fullsailfi,"Full Sail is a decentralized exchange (DEX) deployed on the Sui blockchain. It combines concentrated liquidity and dynamic fees within an automated market maker (AMM) model to enable efficient capital deployment, high-throughput trading, and low execution costs. At its core, Full Sail is designed around a novel ve(4,4) mechanism.",Sui-based DeFi projects,"DEX,DeFi"
Astros,astros_ag,"Astros is a next-generation Perp DEX and DEX Aggregator on Sui, offering high-performance, secure, and seamless decentralized trading.",Perp DEX,"Derivatives,Perp,DeFi"
Echo Protocol,EchoProtocol_,"Echo is a multifaceted protocol specializing in bridging, restaking, and decentralized finance (DeFi), seamlessly interoperating within the Move ecosystem. Its mission is to enhance BTC liquidity and introduce innovative restaking solutions for BTC assets within Move.",Bitcoin Liquid Re-staking • Yield Infrastructure,"Bridge,LSD,DeFi,Restaking"
Switchboard,switchboardxyz,"Switchboard is a permissionless, customizable, multi-chain oracle protocol for general-purpose data feeds and verifiable randomness. It enables anyone to push any form of data, regardless of type, providing a one-stop shop for users and helping to power the next generation of decentralized applications.",Multi-chain oracle protocol,"Oracle,Infra"
Haedal,HaedalProtocol,"Haedal is a liquid staking protocol built on Sui that allows anyone to stake their SUI tokens to contribute to governance and decentralisation of the Sui blockchain. In the meantime, users will get haSUI in return so that they can continue to participate in DeFi activities to earn additional yields.",Liquid staking protocol built on Sui,"LSD,DeFi"
Native,gonativecc,"Native is a Bitcoin protocol bringing real BTC into DeFi—securely, simply, and without compromise. It make Bitcoin interoperable without using bridges or wrapped tokens. BYield is Native’s one-click Bitcoin Yield Hub. It’s a dashboard where usesr can earn yield on BTC, without dealing with all of the DeFi complexities. ",Bitcoin yield platform,"DeFi,Yield aggregator"
EmberProtocol,EmberProtocol_,"Ember Protocol is an asset management platform that supports multiple strategies, aiming to gain profits from multiple ecosystems and access through Sui. Ember vaults power market-making for perps, options, stocks, pre-IPO, or any other asset. Incubated by Upshift with Bluewater.",Cross-chain strategy Vaults,"Asset Management,DeFi"
Alkimi,AlkimiExchange,"Alkimi is a decentralised ad exchange makes it possible to buy and sell advertising space in a completely decentralised manner through the blockchain infrastructure. Alkimi is a custom layer 2 scaling solution on the Ethereum network, specifically for advertising. Using the principle of Generative Economics, the Alkimi Exchange will reward users, publishers and advertisers for rebuilding the intended value exchange of the Open Web.",Decentralised ad exchange,Marketing Solutions
DoubleUp,doubleup_app,"DoubleUp is a premier casino base on Blockchain. Player can play games like Roulette, Limbo, Blackjack and Coinflip.",Casino base on Blockchain,"Gaming,Gambling Games"
SuiNS,SuiNSdapp,"Sui Name Service (SuiNS) is a service that simplifies users' web3 identities, websites, and wallets.",Web3 Identity Service,"Name Service,Infra"
Suilend,Suilendprotocol,Suilend is an autonomous lending and borrowing platform on Sui. ,Lending and borrowing platform,"Lending,DeFi"
Virtue,Virtue_Money,Virtue is a stablecoin lending platform built on the IOTA EVM network and forked by Liquity V2.,Stablecoin lending platform,"Lending,Stablecoin Protocol,DeFi"
Bucket Protocol,bucket_protocol,"Bucket Protocol is a Collateralized Debt Position (CDP) protocol within the Sui ecosystem, supporting multiple assets for collateralization while extending stablecoin loans in $BUCK at a zero-interest rate. Its real-time liquidation mechanism ensures both security and capital efficiency, and the inbuilt flash loan services facilitate the price stability of the stablecoin BUCK.",Over-collateralized stablecoin protocol,"Stablecoin Protocol,DeFi"
Typus Finance,TypusFinance,"Typus Finance is a real yield infrastructure on the Sui Blockchain that enables users to obtain superior risk-to-reward returns with just one click. Typus combines swap, lending, and derivatives protocols to create an options marketplace for long-tail assets. This approach not only improves risk-adjusted returns for Liquidity Providers, but also deepens liquidity in Decentralized Finance, making it a win-win situation for all involved.",Real Yield Infrastructure on Sui,"Derivatives,DeFi"
Soundness,SoundnessLabs,"Soundness Layer is a decentralized verification layer built on Walrus and Sui. It leverages zero-knowledge proofs to enhance data security, privacy, and blockchain scalability. 

",Decentralized Verification Layer ,"Infra,zk"
ATTNtoken,ATTNtoken,"ATTN is a memecoin focused on rewarding genuine engagement in crypto, built on the concept of ""Proof of Attention."" It incentivizes users for contributions like trend analysis, thread summaries, or sharing insightful content, turning attention into measurable value. ",MEME Coin,"MEME,InfoFi"
Nexa,nexaxyz,"Nexa is a comprehensive platform for DeFi and analytics needs on the Sui blockchain. The platform provides multi-functional trading tools, helping users explore and analyze on-chain trading activity, with a particular focus on decentralized exchanges (DEX) for perpetual and spot trading.",Trading terminal on Sui Network,"Tools,Data & Analysis,DeFi"
human.tech,0xHolonym,"Holonym is a privacy-preserving passport for Web3. It enables users to perform anonymous ""KYC"" and prevent Sybil attacks. It is also constructing the necessary infrastructure for decentralized wallet recovery.",Privacy-preserving passport for Web3,"DID,Privacy"
FlowX,flowx_finance,"FlowX is the ecosystem-focused decentralized exchange built on the Sui Blockchain. The platform  also offer custom services for builders, allowing developers to easily establish deep and sustainable liquidity pools.",DEX base on Sui,"DEX,DeFi"
Cube Exchange,cubexch,Cube.Exchange is a hybrid crypto trading platform that will first launch as a spot exchange before expanding to other products over the next year.,Hybrid Crypto Trading Platform,CeFi
AftermathFi,AftermathFi,"Aftermath Finance is a DEX base on Sui. With their platform, they aim for users to expect a CEX-like experience with the added security of self-custody.",Decentralized Exchange,"DEX,DeFi"
Turbos,Turbos_finance,"Turbos Finance is a non-custodial liquidity layer built on top of the Sui Network. It offers an efficient and composable automated market maker (AMM) decentralized exchange, featuring the Concentrated Liquidity Market Maker (CLMM) model and derivatives trading.",AMM exchange,"DEX,DeFi"
Dubhe,DubheEngine,"Dubhe is a modular move application creation engine composed of toolchains and libraries. Dubhe Engine is an open-source toolchain for Move applications, empowering everyone to build intent-centric worlds.",Modular move application creation engine,"Infra,Dev Platform"
Xociety,xocietyofficial,"XOCIETY is a gaming metaverse that combines the best of science fiction and fantasy in a unique third-person shooter and MMORPG hybrid. Players can actively participate and own avatars and land NFTs, enabling them to fully immerse themselves in the virtual world and help shape its future, while being rewarded for their efforts.",Gaming metaverse with shooter mechanics,"Gaming,Shooting Games"
NAVI Protocol,navi_protocol,"Navi is a Native One-Stop Liquidity Protocol on Sui. It enables users to participate as liquidity providers or borrowers within the Sui Ecosystem.
Liquidity providers supply assets to the market, earning passive income through yields, while borrowers have the flexibility to obtain loans for different assets. With its focus on providing essential DeFi infrastructure, Navi aims to be a key player in the rapidly evolving world of DeFi in the Sui Ecosystem
The protocol's innovative features, such as Automatic Leverage Vaults and Isolation Mode, enable users to leverage their assets and access novel trading opportunities with minimized risks. NAVI's design provides support for digital assets at different risk levels, while its advanced security features ensure the protection of user funds and the mitigation of systemic risks.",One Stop Liquidity Protocol,"Lending,DeFi"
AlphaFi,AlphaFiSUI,"AlphaFi is a smart yield aggregator that simplifies the yield generation process by automatically compounding user deposits in the same currency. For example, depositing USDT & USDC into the USDC-USDT vault results in earning more USDC & USDT that are auto-compounded, progressively increasing user initial deposit. ",Smart Yield Aggregator,"DeFi,Yield aggregator"
Liqfinity,Liqfinity,"Liqfinity is a crypto platform that allows you to borrow, provide liquidity, and earn rewards—all with no liquidation risk, 100% Loan-to-Value (LTV), unlimited loan duration, and generous rewards for liquidity providers.",DeFAI Lending Protocol,"Lending,AI,DeFi"
FanTV AI,FanTV_official,"FanTV is a Web3-powered Video + Live streaming social platform aims to be the go-to social network, offering streaming, community, and monetization to empower Creators, facilitating the transition of the Creator Economy on-chain. FanTV has developed advanced AI technology to empower Creators to transform text to music, generate AI videos, create podcasts, web series, and vlogs while enabling cross-platform distribution. ",Video + Live streaming social platform,"Social,Creator Economy,AI"
Ferra,ferra_protocol,"Ferra is the dynamic liquidity layer built natively on the SUI network, delivering deep, flexible, and capital-efficient liquidity for DeFi builders, liquidity providers, and token projects. At its core, Ferra combines three advanced AMM engines: DLMM, CLMM, and DAMM with a comprehensive toolkit that includes a DBC - The Dynamic Bonding Curve  for effortless token launches, an internal Pool & DEX Aggregator for best-price routing, and a fully documented API/SDK for seamless integration across the Sui ecosystem.",Dynamic liquidity layer built on SUI ,"DEX,DeFi"
OptiView,optiview_x,"As a user-friendly on-chain asset tracking and AI-powered market analysis platform designed for both new and advanced participants, OptiView is built on the vision of intuitive asset visibility and intelligent decision support. By integrating multi-chain aggregation technology with an on-chain intelligent trading analysis assistant, the platform enables participants to manage assets efficiently.",on-chain asset tracking and analysis platform,Asset Management
Rugged.Club,ruggeddotclub,"rugged.club is an emotional yield farming protocol where users can chat with and get played by clout-chasing characters in crypto-fueled virtual novels, then own their ""FUTURE TOKENS"" .",Emotional yield farming protocol ,"Social,AI"
DeAgentAI,DeAgentAI,"DeAgentAI is an AI agent infrastructure in the Sui, BSC, and BTC ecosystems, providing AI agents with trustless autonomous decision-making capabilities on-chain. Designed to address the three core challenges of AI in distributed environments: identity, continuity, and consensus, to build a truly trustworthy ecosystem of AI agents.",Decentralized AI Agent infrastructure,"AI,Infra,Modular,AI Agent"
VOLO,volo_sui,Volo is a liquid staking protocol empowers users in the Sui Network to maximize their earnings while retaining access to their staked assets.,Liquid staking protocol,"LSD,DeFi"
Blub,blubsui,"BLUB is a meme coin on Sui Network. $BLUB supports staking rewards, repurchase using treasury funds, and destruction mechanisms.",Meme coin on Sui Network,MEME
Suigar,Suigar_com,"Suigar is a gaming platform based on Sui blockchain, providing game functions such as Coinflip, Lootboxes and NFTs. Users can earn Sui tokens and experience decentralized game interactions.",Game Platform,"Gaming,Gaming platform"
NODO,Official_NODO,"NODO is an omnichain AI-driven social copytrading ecosystem with real-time, instant-payout price prediction markets.  ",omni-chain social futures trading ecosystem,"AI,DeFi,Socia Trading"
Hippo,hippo_cto,Hippo_CTO is a CTO driven Moo Deng meme coin base on Sui.,Moo Deng meme coin,MEME
Tusky,TuskyTools,"Tusky is a decentralized storage platform that sends all data to Walrus, a decentralized storage protocol that leverages the Sui blockchain. Tusky is a complete platform for controlling data: applications, APIs, SDKs, CLI, and CDNs. Tusky was previously Akord and used Arweave to provide secure storage for digital valuables.",Arweave-based privacy network,Storage Application
MoviePass,MoviePass,"MoviePass is a marketing technology platform that enhances the exploration of films and the moviegoing experience. It is introducing new ways for moviegoers to experience their favorite films and engage with their favorite characters. Furthermore, it is developing the platform into a marketplace where members, studios, and theatres can discover the future of cinema together.",Web3 marketing technology platform enhancing the exploration of film,Entertainment
Sudo Finance,sudofinance,Sudo is an on-chain real world asset & derivatives exchange protocol built on Sui. It provides traders with access to real world assets like stocks and commodities and allows high leverage trading with zero slippage.,Real-world synthetic asset trading platform,"Derivatives,RWA,DeFi"
ARTTOO,arttoo_official,"Arttoo is a blockchain-based art investment platform, offering fractional ownership of iconic artworks. Users can invest in curated pieces and benefit from value growth through auctions, exhibitions, and NFT licensing, with secure provenance, authentication, and storage.",Art Investment Platform,"NFT marketplace,Digital Art,NFT"
Deepr Finance,DeeprFinance,"Deepr Finance is a decentralized finance (DeFi) platform built on the Shimmer EVM that enables users to lend and borrow digital assets without the need for intermediaries, such as banks or traditional financial institutions. Users can supply their assets to the platform, earning interest on their deposits, while borrowers can take out loans by providing collateral. ",Decentralized Lending Protocol,"Lending,DeFi"
Surge,SurgeOnSui,Surge is a dedicated AI agent launch platform on the Sui Network that aims to solve key issues such as premature token selling and misaligned incentives in the crypto ecosystem.,AI agent launch platform,"AI,Launchpad,AI Agent"
Nemo Protocol,nemoprotocol,Nemo Protocol is the native yield-trading platform on Sui Network where users can Long yield or hedge yield exposure.,Yield-trading platform on Sui Network,"Derivatives,DeFi"
